created_at,entry_id,field1,field2
2018-12-26 17:22:20 UTC,1,,54.322
2018-12-26 18:38:57 UTC,2,,54.784
2018-12-26 18:44:00 UTC,3,,54.513
2018-12-26 18:49:05 UTC,4,19.366,
2018-12-26 18:54:10 UTC,5,19.382,
2018-12-26 18:59:15 UTC,6,19.366,
2018-12-26 19:04:20 UTC,7,19.326,
2018-12-26 19:09:25 UTC,8,19.253,
2018-12-26 19:14:29 UTC,9,,54.125
2018-12-26 19:19:34 UTC,10,,54.293
2018-12-26 19:24:39 UTC,11,19.152,
2018-12-26 19:29:44 UTC,12,,54.185
2018-12-26 19:34:49 UTC,13,19.056,
2018-12-26 19:39:54 UTC,14,19.056,
2018-12-26 19:44:59 UTC,15,,55.204
2018-12-26 19:50:04 UTC,16,,55.796
2018-12-26 19:55:09 UTC,17,,56.236
2018-12-26 20:00:14 UTC,18,,56.445
2018-12-26 20:05:22 UTC,19,19.125,
2018-12-26 20:10:27 UTC,20,19.096,
2018-12-26 20:15:32 UTC,21,,55.128
2018-12-26 20:20:36 UTC,22,,54.931
2018-12-26 20:25:41 UTC,23,,54.922
2018-12-26 20:30:46 UTC,24,,55.259
2018-12-26 20:35:51 UTC,25,18.984,
2018-12-26 20:40:56 UTC,26,,54.884
2018-12-26 20:46:01 UTC,27,,54.716
2018-12-26 20:51:06 UTC,28,18.829,
2018-12-26 21:01:14 UTC,29,,54.556
2018-12-26 21:06:19 UTC,30,,54.501
2018-12-26 21:11:24 UTC,31,18.674,
2018-12-26 21:16:29 UTC,32,18.647,
2018-12-26 21:26:39 UTC,33,18.562,
2018-12-26 21:31:44 UTC,34,,53.942
2018-12-26 21:36:49 UTC,35,,53.918
2018-12-26 21:41:54 UTC,36,,53.904
2018-12-26 21:46:59 UTC,37,,53.960
2018-12-26 21:52:04 UTC,38,,53.919
2018-12-26 21:57:08 UTC,39,,53.901
2018-12-26 22:07:17 UTC,40,,53.874
2018-12-26 22:12:22 UTC,41,18.292,
2018-12-26 22:17:27 UTC,42,,53.858
2018-12-26 22:22:32 UTC,43,,54.089
2018-12-26 22:27:37 UTC,44,18.209,
2018-12-26 22:32:42 UTC,45,,54.412
2018-12-26 22:37:47 UTC,46,18.167,
2018-12-26 22:42:52 UTC,47,,54.675
2018-12-26 22:47:57 UTC,48,,54.852
2018-12-26 22:53:01 UTC,49,,55.174
2018-12-26 22:58:06 UTC,50,18.081,
2018-12-26 23:03:11 UTC,51,18.095,
2018-12-26 23:08:16 UTC,52,18.038,
2018-12-26 23:13:21 UTC,53,18.025,
2018-12-26 23:18:26 UTC,54,17.982,
2018-12-26 23:23:31 UTC,55,17.982,
2018-12-26 23:28:36 UTC,56,17.969,
2018-12-26 23:33:41 UTC,57,,54.948
2018-12-26 23:38:46 UTC,58,17.900,
2018-12-26 23:43:51 UTC,59,17.900,
2018-12-26 23:48:56 UTC,60,,54.894
2018-12-26 23:54:01 UTC,61,17.827,
2018-12-26 23:59:06 UTC,62,,54.911
2018-12-27 00:04:11 UTC,63,,55.703
2018-12-27 00:09:16 UTC,64,,55.579
2018-12-27 00:14:21 UTC,65,17.870,
2018-12-27 00:19:26 UTC,66,17.900,
2018-12-27 00:24:31 UTC,67,,55.966
2018-12-27 00:29:36 UTC,68,17.758,
2018-12-27 00:34:41 UTC,69,,55.534
2018-12-27 00:39:46 UTC,70,,55.503
2018-12-27 00:44:50 UTC,71,,56.074
2018-12-27 00:49:56 UTC,72,,55.964
2018-12-27 00:55:01 UTC,73,17.617,
2018-12-27 01:00:07 UTC,74,,55.686
2018-12-27 01:05:10 UTC,75,17.531,
2018-12-27 01:10:15 UTC,76,,55.424
2018-12-27 01:15:19 UTC,77,,55.361
2018-12-27 01:20:24 UTC,78,,55.155
2018-12-27 01:25:29 UTC,79,17.446,
2018-12-27 01:30:35 UTC,80,,55.264
2018-12-27 01:35:40 UTC,81,,55.351
2018-12-27 01:40:45 UTC,82,,55.311
2018-12-27 01:45:49 UTC,83,,55.804
2018-12-27 01:50:55 UTC,84,,56.262
2018-12-27 01:56:00 UTC,85,17.347,
2018-12-27 02:01:05 UTC,86,,56.381
2018-12-27 02:06:09 UTC,87,17.277,
2018-12-27 02:11:14 UTC,88,17.248,
2018-12-27 02:16:19 UTC,89,,56.405
2018-12-27 02:21:24 UTC,90,,56.464
2018-12-27 02:26:29 UTC,91,17.179,
2018-12-27 02:31:34 UTC,92,17.152,
2018-12-27 02:36:39 UTC,93,17.136,
2018-12-27 02:41:44 UTC,94,17.096,
2018-12-27 02:46:49 UTC,95,,56.660
2018-12-27 02:51:53 UTC,96,17.037,
2018-12-27 02:56:58 UTC,97,17.024,
2018-12-27 03:02:03 UTC,98,,56.619
2018-12-27 03:07:08 UTC,99,,56.587
2018-12-27 03:12:13 UTC,100,,56.611
2018-12-27 03:17:18 UTC,101,16.954,
2018-12-27 03:22:23 UTC,102,,56.655
2018-12-27 03:27:28 UTC,103,16.912,
2018-12-27 03:32:33 UTC,104,,56.761
2018-12-27 03:37:37 UTC,105,,56.802
2018-12-27 03:42:42 UTC,106,16.869,
2018-12-27 03:47:47 UTC,107,16.855,
2018-12-27 03:52:52 UTC,108,,56.669
2018-12-27 03:57:57 UTC,109,,56.675
2018-12-27 04:03:02 UTC,110,,56.725
2018-12-27 04:08:07 UTC,111,,56.747
2018-12-27 04:13:12 UTC,112,,56.637
2018-12-27 04:18:17 UTC,113,16.727,
2018-12-27 04:23:21 UTC,114,16.711,
2018-12-27 04:28:26 UTC,115,,56.852
2018-12-27 04:33:31 UTC,116,16.655,
2018-12-27 04:38:36 UTC,117,16.642,
2018-12-27 04:43:41 UTC,118,16.586,
2018-12-27 04:48:46 UTC,119,,56.985
2018-12-27 04:53:51 UTC,120,16.516,
2018-12-27 04:58:56 UTC,121,16.556,
2018-12-27 05:04:01 UTC,122,,56.674
2018-12-27 05:09:06 UTC,123,16.572,
2018-12-27 05:14:10 UTC,124,,56.584
2018-12-27 05:19:15 UTC,125,16.572,
2018-12-27 05:24:22 UTC,126,16.572,
2018-12-27 05:29:24 UTC,127,16.543,
2018-12-27 05:34:28 UTC,128,16.543,
2018-12-27 05:39:40 UTC,129,,55.978
2018-12-27 05:49:49 UTC,130,16.487,
2018-12-27 05:54:49 UTC,131,,55.799
2018-12-27 05:59:52 UTC,132,,55.776
2018-12-27 06:04:56 UTC,133,,55.810
2018-12-27 06:10:01 UTC,134,16.431,
2018-12-27 06:15:06 UTC,135,,55.474
2018-12-27 06:20:11 UTC,136,,55.837
2018-12-27 06:25:16 UTC,137,16.135,
2018-12-27 06:30:21 UTC,138,,55.572
2018-12-27 06:35:26 UTC,139,16.135,
2018-12-27 06:40:32 UTC,140,,55.929
2018-12-27 06:45:37 UTC,141,16.177,
2018-12-27 06:50:42 UTC,142,16.207,
2018-12-27 06:55:47 UTC,143,16.305,
2018-12-27 07:00:51 UTC,144,,56.158
2018-12-27 07:05:56 UTC,145,,56.426
2018-12-27 07:11:02 UTC,146,16.556,
2018-12-27 07:16:07 UTC,147,16.615,
2018-12-27 07:21:12 UTC,148,16.685,
2018-12-27 07:26:17 UTC,149,,56.216
2018-12-27 07:31:23 UTC,150,,56.222
2018-12-27 07:36:28 UTC,151,16.599,
2018-12-27 07:41:33 UTC,152,,55.714
2018-12-27 07:46:38 UTC,153,,55.933
2018-12-27 07:51:42 UTC,154,16.516,
2018-12-27 07:56:48 UTC,155,,55.163
2018-12-27 08:01:53 UTC,156,16.685,
2018-12-27 08:06:58 UTC,157,,55.068
2018-12-27 08:12:03 UTC,158,16.629,
2018-12-27 08:17:08 UTC,159,,55.172
2018-12-27 08:22:12 UTC,160,16.629,
2018-12-27 08:27:17 UTC,161,16.615,
2018-12-27 08:32:23 UTC,162,16.629,
2018-12-27 08:37:27 UTC,163,16.615,
2018-12-27 08:42:32 UTC,164,16.599,
2018-12-27 08:47:37 UTC,165,16.629,
2018-12-27 08:52:42 UTC,166,16.642,
2018-12-27 08:57:47 UTC,167,16.629,
2018-12-27 09:02:52 UTC,168,16.671,
2018-12-27 09:07:57 UTC,169,,57.168
2018-12-27 09:13:02 UTC,170,16.671,
2018-12-27 09:18:07 UTC,171,16.629,
2018-12-27 09:23:11 UTC,172,16.642,
2018-12-27 09:28:16 UTC,173,16.629,
2018-12-27 09:33:21 UTC,174,,56.886
2018-12-27 09:38:26 UTC,175,,56.770
2018-12-27 09:48:34 UTC,176,,56.500
2018-12-27 09:58:41 UTC,177,16.642,
2018-12-27 10:03:46 UTC,178,,56.130
2018-12-27 10:08:51 UTC,179,,55.892
2018-12-27 10:13:56 UTC,180,,55.700
2018-12-27 10:19:01 UTC,181,16.898,
2018-12-27 10:24:06 UTC,182,,55.448
2018-12-27 10:29:11 UTC,183,,55.428
2018-12-27 10:34:16 UTC,184,17.208,
2018-12-27 10:39:21 UTC,185,17.221,
2018-12-27 10:44:26 UTC,186,17.291,
2018-12-27 10:49:30 UTC,187,,54.888
2018-12-27 10:54:36 UTC,188,,54.862
2018-12-27 10:59:41 UTC,189,,55.769
2018-12-27 11:04:46 UTC,190,17.459,
2018-12-27 11:09:51 UTC,191,17.558,
2018-12-27 11:14:57 UTC,192,,59.586
2018-12-27 11:19:59 UTC,193,,58.033
2018-12-27 11:25:04 UTC,194,17.884,
2018-12-27 11:30:09 UTC,195,17.913,
2018-12-27 11:35:14 UTC,196,,55.488
2018-12-27 11:40:19 UTC,197,17.745,
2018-12-27 11:45:24 UTC,198,17.702,
2018-12-27 11:50:29 UTC,199,17.633,
2018-12-27 11:55:34 UTC,200,,54.801
2018-12-27 12:00:38 UTC,201,,54.714
2018-12-27 12:05:43 UTC,202,,55.177
2018-12-27 12:10:48 UTC,203,,55.196
2018-12-27 12:15:53 UTC,204,,55.105
2018-12-27 12:20:59 UTC,205,,55.077
2018-12-27 12:26:04 UTC,206,,54.943
2018-12-27 12:31:09 UTC,207,,54.871
2018-12-27 12:40:54 UTC,208,18.137,
2018-12-27 12:45:59 UTC,209,18.167,
2018-12-27 12:48:16 UTC,210,18.236,
2018-12-27 12:48:36 UTC,211,18.209,
2018-12-27 12:48:55 UTC,212,18.236,
2018-12-27 12:49:12 UTC,213,18.265,
2018-12-27 12:49:32 UTC,214,18.265,
2018-12-27 12:49:51 UTC,215,18.265,
2018-12-27 12:50:10 UTC,216,18.292,
2018-12-27 12:50:28 UTC,217,,56.918
2018-12-27 12:50:43 UTC,218,,56.880
2018-12-27 12:51:12 UTC,219,,57.000
2018-12-27 12:51:42 UTC,220,,57.105
2018-12-27 12:52:11 UTC,221,,56.870
2018-12-27 12:52:41 UTC,222,,57.247
2018-12-27 12:53:11 UTC,223,,57.270
2018-12-27 12:53:37 UTC,224,18.322,
2018-12-27 12:53:56 UTC,225,18.335,
2018-12-27 12:54:16 UTC,226,18.362,
2018-12-27 12:54:36 UTC,227,18.348,
2018-12-27 12:55:01 UTC,228,18.362,
2018-12-27 12:55:23 UTC,229,18.362,
2018-12-27 12:55:48 UTC,230,,57.028
2018-12-27 12:56:08 UTC,231,18.378,
2018-12-27 12:56:32 UTC,232,,56.945
2018-12-27 12:56:52 UTC,233,18.378,
2018-12-27 12:57:17 UTC,234,,56.948
2018-12-27 12:57:37 UTC,235,18.423,
2018-12-27 12:58:02 UTC,236,,57.284
2018-12-27 12:58:21 UTC,237,18.450,
2018-12-27 12:58:43 UTC,238,18.450,
2018-12-27 12:59:48 UTC,239,,56.902
